ISPB,Short_Name,Code_Number,Participation_in_Compe,Main_Access,Full_Name,Start_Date
00000000,BCO DO BRASIL S.A.,001,Yes,RSFN,Banco do Brasil S.A.                                                            ,"Apr 22, 2002"
00000208,BRB - BCO DE BRASILIA S.A.,070,Yes,RSFN,BRB - BANCO DE BRASILIA S.A.                                                    ,"Apr 22, 2002"
00038121,Selic                              ,n/a,No,RSFN,Banco Central do Brasil - Selic                                                 ,"Apr 22, 2002"
00038166,Bacen                              ,n/a,No,RSFN,Banco Central do Brasil                                                         ,"Apr 22, 2002"
00122327,SANTINVEST S.A. - CFI,539,No,RSFN,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                        ","Apr 17, 2023"
00204963,CCR SEARA,430,No,RSFN,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA                                 ,"Aug 27, 2021"
00250699,AGK CC S.A.,272,No,RSFN,AGK CORRETORA DE CAMBIO S.A.                                                    ,"Nov 21, 2018"
00315557,CONF NAC COOP CENTRAIS UNICRED,136,Yes,RSFN,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI,"Jul 28, 2014"
00329598,ÍNDIGO INVESTIMENTOS DTVM LTDA.,407,No,RSFN,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.       ,"Feb 22, 2021"
00360305,CAIXA ECONOMICA FEDERAL,104,Yes,RSFN,CAIXA ECONOMICA FEDERAL                                                         ,"Apr 22, 2002"
00394460,STN                                ,n/a,No,RSFN,Secretaria do Tesouro Nacional - STN                                            ,"Apr 22, 2002"
00416968,BANCO INTER,077,Yes,RSFN,Banco Inter S.A.                                                                ,"Aug 15, 2008"
00460065,COLUNA S.A. DTVM,423,No,RSFN,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS                       ,"Jun 07, 2021"
00517645,BCO RIBEIRAO PRETO S.A.,741,Yes,RSFN,BANCO RIBEIRAO PRETO S.A.                                                       ,"Apr 22, 2002"
00556603,BANCO BARI S.A.,330,No,RSFN,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.                               ,"Jul 22, 2019"
00558456,BCO CETELEM S.A.,739,Yes,RSFN,Banco Cetelem S.A.                                                              ,"Apr 22, 2002"
00714671,EWALLY IP S.A.,534,No,RSFN,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.                                            ,"Apr 03, 2023"
00795423,BANCO SEMEAR,743,Yes,RSFN,Banco Semear S.A.                                                               ,"Apr 22, 2002"
00806535,PLANNER CV S.A.,100,No,RSFN,Planner Corretora de Valores S.A.                                               ,"Apr 27, 2011"
00954288,FDO GARANTIDOR CRÉDITOS            ,541,No,RSFN,FUNDO GARANTIDOR DE CREDITOS - FGC                                              ,"Mar 08, 2023"
00997185,BCO B3 S.A.,096,No,RSFN,Banco B3 S.A.                                                                   ,"Nov 12, 2004"
01023570,BCO RABOBANK INTL BRASIL S.A.,747,No,RSFN,Banco Rabobank International Brasil S.A.                                        ,"Apr 22, 2002"
01027058,CIELO IP S.A.,362,No,RSFN,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO                                           ,"Jul 17, 2020"
01073966,CCR DE ABELARDO LUZ,322,Yes,RSFN,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz                ,"Jun 14, 2019"
01181521,BCO COOPERATIVO SICREDI S.A.,748,Yes,RSFN,BANCO COOPERATIVO SICREDI S.A.                                                  ,"Apr 22, 2002"
01330387,CREHNOR LARANJEIRAS,350,No,RSFN,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE,"May 27, 2020"
01522368,BCO BNP PARIBAS BRASIL S A,752,Yes,RSFN,Banco BNP Paribas Brasil S.A.                                                   ,"Apr 22, 2002"
01658426,CECM COOPERFORTE,379,No,RSFN,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU,"Sep 01, 2020"
01701201,KIRTON BANK,399,No,RSFN,Kirton Bank S.A. - Banco Múltiplo                                               ,"Apr 22, 2002"
01852137,BCO BRASILEIRO DE CRÉDITO S.A.,378,No,RSFN,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA                                   ,"Sep 11, 2020"
01858774,BCO BV S.A.,413,No,RSFN,BANCO BV S.A.                                                                   ,"May 21, 2021"
02038232,BANCO SICOOB S.A.,756,Yes,RSFN,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB                                    ,"Apr 22, 2002"
02276653,TRINUS CAPITAL DTVM,360,No,RSFN,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.              ,"Jul 16, 2020"
02318507,BCO KEB HANA DO BRASIL S.A.,757,Yes,RSFN,BANCO KEB HANA DO BRASIL S.A.                                                   ,"Apr 22, 2002"
02332886,XP INVESTIMENTOS CCTVM S/A,102,No,RSFN,"XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A          ","Nov 22, 2011"
02398976,SISPRIME DO BRASIL - COOP,084,Yes,RSFN,SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO                                     ,"Nov 24, 2009"
02685483,CM CAPITAL MARKETS CCTVM LTDA,180,No,RSFN,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA      ","Jan 20, 2017"
02801938,BCO MORGAN STANLEY S.A.,066,No,RSFN,BANCO MORGAN STANLEY S.A.                                                       ,"Apr 22, 2002"
02819125,UBS BRASIL CCTVM S.A.,015,No,RSFN,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.              ","Mar 15, 2011"
02992317,TREVISO CC S.A.,143,No,RSFN,Treviso Corretora de Câmbio S.A.                                                ,"Aug 24, 2015"
02992335,CIP SA Siloc                       ,n/a,No,RSFN,CIP S.A                                                                         ,"Feb 13, 2004"
03012230,HIPERCARD BM S.A.,062,Yes,RSFN,Hipercard Banco Múltiplo S.A.                                                   ,"Apr 22, 2002"
03017677,BCO. J.SAFRA S.A.,074,Yes,RSFN,Banco J. Safra S.A.                                                             ,"Aug 26, 2004"
03046391,UNIPRIME COOPCENTRAL LTDA.,099,Yes,RSFN,UNIPRIME CENTRAL NACIONAL - CENTRAL NACIONAL DE COOPERATIVA DE CREDITO          ,"Jan 11, 2011"
03215790,BCO TOYOTA DO BRASIL S.A.,387,No,RSFN,Banco Toyota do Brasil S.A.                                                     ,"Jul 21, 2020"
03311443,PARATI - CFI S.A.,326,No,RSFN,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.                             ","Jan 07, 2020"
03323840,BCO ALFA S.A.,025,Yes,RSFN,Banco Alfa S.A.                                                                 ,"Apr 22, 2002"
03532415,BCO ABN AMRO S.A.,075,No,RSFN,Banco ABN Amro S.A.                                                             ,"Nov 11, 2005"
03609817,BCO CARGILL S.A.,040,No,RSFN,Banco Cargill S.A.                                                              ,"Apr 22, 2002"
03751794,TERRA INVESTIMENTOS DTVM,307,No,RSFN,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.        ,"Oct 25, 2018"
03844699,CECM DOS TRAB.PORT. DA G.VITOR,385,No,RSFN,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V,"Mar 08, 2022"
03881423,SOCINAL S.A. CFI,425,No,RSFN,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            ","Jul 27, 2021"
03973814,SERVICOOP,190,No,RSFN,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAI,"Oct 16, 2017"
04062902,OZ CORRETORA DE CÂMBIO S.A.,296,No,RSFN,OZ CORRETORA DE CÂMBIO S.A.                                                     ,"Feb 11, 2019"
04184779,BANCO BRADESCARD,063,Yes,RSFN,Banco Bradescard S.A.                                                           ,"Apr 22, 2002"
04257795,NOVA FUTURA CTVM LTDA.,191,No,RSFN,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.                    ,"Jun 22, 2017"
04307598,FIDUCIA SCMEPP LTDA,382,No,RSFN,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L,"Jul 31, 2020"
04332281,GOLDMAN SACHS DO BRASIL BM S.A,064,No,RSFN,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.                                     ,"Apr 22, 2002"
04391007,CAMARA INTERBANCARIA DE PAGAMENTOS - CIP,n/a,No,RSFN,CIP S.A                                                                         ,"Nov 27, 2002"
04546162,CCM SERV. PÚBLICOS SP,459,No,RSFN,COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE,"Nov 04, 2021"
04632856,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.,097,Yes,RSFN,Credisis - Central de Cooperativas de Crédito Ltda.                             ,"Feb 08, 2011"
04715685,CCM DESP TRÂNS SC E RS,016,No,RSFN,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI,"May 08, 2012"
04814563,BCO AFINZ S.A. - BM,299,No,RSFN,BANCO AFINZ S.A. - BANCO MÚLTIPLO                                               ,"Dec 03, 2018"
04831810,CECM SERV PUBL PINHÃO,471,No,RSFN,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS DE PINHÃO - CRES,"Jul 18, 2022"
04862600,PORTOSEG S.A. CFI,468,No,RSFN,"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO                           ","Feb 09, 2022"
04866275,BANCO INBURSA,012,No,RSFN,Banco Inbursa S.A.                                                              ,"May 04, 2017"
04902979,BCO DA AMAZONIA S.A.,003,Yes,RSFN,BANCO DA AMAZONIA S.A.                                                          ,"Apr 22, 2002"
04913129,CONFIDENCE CC S.A.,060,No,Internet,Confidence Corretora de Câmbio S.A.                                             ,"Sep 21, 2010"
04913711,BCO DO EST. DO PA S.A.,037,Yes,RSFN,Banco do Estado do Pará S.A.                                                    ,"Apr 22, 2002"
05192316,VIA CERTA FINANCIADORA S.A. - CFI,411,No,RSFN,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos            ","Feb 22, 2021"
05351887,ZEMA CFI S/A,359,No,RSFN,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A                                  ","Jun 10, 2020"
05442029,CASA CREDITO S.A. SCM,159,No,RSFN,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor                  ,"Sep 04, 2017"
05463212,COOPCENTRAL AILOS,085,Yes,RSFN,Cooperativa Central de Crédito - Ailos                                          ,"May 17, 2010"
05491616,COOP CREDITAG,400,No,RSFN,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT","Feb 24, 2021"
05676026,CREDIARE CFI S.A.,429,No,RSFN,"Crediare S.A. - Crédito, financiamento e investimento                           ","Sep 08, 2021"
05684234,PLANNER SOCIEDADE DE CRÉDITO DIRETO,410,No,RSFN,PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.                                        ,"Feb 17, 2021"
05790149,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO,114,Yes,RSFN,Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP             ,"Oct 27, 2011"
05841967,CECM FABRIC CALÇADOS SAPIRANGA,328,No,RSFN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA,"Mar 22, 2021"
06271464,BCO BBI S.A.,036,Yes,RSFN,Banco Bradesco BBI S.A.                                                         ,"Apr 22, 2002"
07138049,LIGA INVEST DTVM LTDA.,469,No,RSFN,LIGA INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                 ,"Mar 09, 2022"
07207996,BCO BRADESCO FINANC. S.A.,394,Yes,RSFN,Banco Bradesco Financiamentos S.A.                                              ,"Apr 22, 2002"
07237373,BCO DO NORDESTE DO BRASIL S.A.,004,Yes,RSFN,Banco do Nordeste do Brasil S.A.                                                ,"Apr 22, 2002"
07253654,HEDGE INVESTMENTS DTVM LTDA.,458,No,RSFN,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.          ,"Sep 08, 2021"
07450604,BCO CCB BRASIL S.A.,320,Yes,RSFN,China Construction Bank (Brasil) Banco Múltiplo S/A                             ,"Apr 22, 2002"
07512441,HS FINANCEIRA,189,No,RSFN,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS                        ","Jun 05, 2017"
07652226,LECCA CFI S.A.,105,No,RSFN,"Lecca Crédito, Financiamento e Investimento S/A                                 ","Dec 27, 2011"
07656500,BCO KDB BRASIL S.A.,076,No,RSFN,Banco KDB do Brasil S.A.                                                        ,"Apr 10, 2006"
07679404,BANCO TOPÁZIO S.A.,082,No,RSFN,BANCO TOPÁZIO S.A.                                                              ,"Jun 12, 2009"
07693858,HSCM SCMEPP LTDA.,312,No,RSFN,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT,"Feb 09, 2021"
07799277,VALOR SCD S.A.,195,No,RSFN,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,"Aug 09, 2021"
07945233,POLOCRED SCMEPP LTDA.,093,No,RSFN,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT,"Nov 09, 2010"
08240446,CCR DE IBIAM,391,No,RSFN,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM                          ,"Jul 10, 2020"
08253539,CCR DE SÃO MIGUEL DO OESTE,273,No,RSFN,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel       ,"Apr 24, 2018"
08357240,BCO CSF S.A.,368,No,RSFN,Banco CSF S.A.                                                                  ,"May 25, 2020"
08561701,PAGSEGURO INTERNET IP S.A.,290,No,RSFN,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.                                ,"Nov 07, 2018"
08609934,MONEYCORP BCO DE CÂMBIO S.A.,259,No,RSFN,MONEYCORP BANCO DE CÂMBIO S.A.                                                  ,"Jan 27, 2020"
08673569,F D GOLD DTVM LTDA,395,No,Internet,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                 ,"Dec 01, 2020"
09089356,EFÍ S.A. - IP,364,No,RSFN,EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO                                             ,"Mar 16, 2020"
09105360,ICAP DO BRASIL CTVM LTDA.,157,No,RSFN,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.                 ,"Feb 12, 2016"
09210106,SOCRED SA - SCMEPP,183,No,RSFN,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P,"Jun 12, 2017"
09274232,STATE STREET BR S.A. BCO COMERCIAL,014,No,RSFN,STATE STREET BRASIL S.A. - BANCO COMERCIAL                                      ,"Aug 08, 2008"
09313766,CARUANA SCFI,130,No,RSFN,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO               ","Aug 12, 2013"
09464032,MIDWAY S.A. - SCFI,358,No,RSFN,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             ","Feb 01, 2021"
09512542,CODEPE CVC S.A.,127,No,Internet,Codepe Corretora de Valores e Câmbio S.A.                                       ,"Nov 09, 2012"
09516419,PICPAY BANK - BANCO MÚLTIPLO S.A,079,No,RSFN,PICPAY BANK - BANCO MÚLTIPLO S.A                                                ,"Jul 25, 2008"
09526594,MASTER BI S.A.,141,No,RSFN,BANCO MASTER DE INVESTIMENTO S.A.                                               ,"Mar 20, 2023"
09554480,SUPERDIGITAL I.P. S.A.,340,No,RSFN,SUPERDIGITAL INSTITUIÇÃO DE PAGAMENTO S.A.                                      ,"Sep 25, 2019"
10264663,BANCOSEGURO S.A.,081,No,RSFN,BancoSeguro S.A.                                                                ,"Oct 24, 2008"
10371492,BCO YAMAHA MOTOR S.A.,475,No,RSFN,Banco Yamaha Motor do Brasil S.A.                                               ,"Sep 05, 2022"
10398952,CRESOL CONFEDERAÇÃO,133,Yes,RSFN,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E,"May 02, 2016"
10573521,MERCADO PAGO IP LTDA.,323,No,RSFN,MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.                                     ,"Jun 24, 2019"
10664513,BCO AGIBANK S.A.,121,No,RSFN,Banco Agibank S.A.                                                              ,"Apr 04, 2012"
10690848,BCO DA CHINA BRASIL S.A.,083,Yes,RSFN,Banco da China Brasil S.A.                                                      ,"Jul 14, 2009"
10853017,GET MONEY CC LTDA,138,No,Internet,Get Money Corretora de Câmbio S.A.                                              ,"Jul 14, 2014"
10866788,BCO BANDEPE S.A.,024,No,RSFN,Banco Bandepe S.A.                                                              ,"Apr 22, 2002"
11165756,GLOBAL SCM LTDA,384,No,RSFN,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO,"Oct 13, 2020"
11285104,NEON FINANCEIRA - CFI S.A.,426,No,RSFN,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                    ","May 21, 2021"
11476673,BANCO RANDON S.A.,088,No,RSFN,BANCO RANDON S.A.                                                               ,"Aug 03, 2020"
11495073,OM DTVM LTDA,319,No,Internet,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                          ,"Mar 01, 2019"
11581339,BMP SCMEPP LTDA,274,No,RSFN,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.,"Sep 10, 2019"
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,095,No,RSFN,Travelex Banco de Câmbio S.A.                                                   ,"Jun 22, 2010"
11758741,BANCO FINAXIS,094,No,RSFN,Banco Finaxis S.A.                                                              ,"Aug 23, 2010"
11760553,GAZINCRED S.A. SCFI,478,No,RSFN,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO               ","Mar 21, 2022"
11970623,BCO SENFF S.A.,276,No,RSFN,BANCO SENFF S.A.                                                                ,"Jun 12, 2018"
12392983,MIRAE ASSET CCTVM LTDA,447,No,RSFN,"MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO","Sep 27, 2021"
13009717,BCO DO EST. DE SE S.A.,047,Yes,RSFN,Banco do Estado de Sergipe S.A.                                                 ,"Apr 22, 2002"
13059145,BEXS BCO DE CAMBIO S.A.,144,No,RSFN,BEXS BANCO DE CÂMBIO S/A                                                        ,"May 23, 2016"
13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,332,No,RSFN,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO                    ,"Aug 16, 2019"
13203354,FITBANK IP,450,No,RSFN,FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.                              ,"Jun 30, 2021"
13220493,BR PARTNERS BI,126,No,RSFN,BR Partners Banco de Investimento S.A.                                          ,"Jan 04, 2013"
13293225,ÓRAMA DTVM S.A.,325,No,RSFN,Órama Distribuidora de Títulos e Valores Mobiliários S.A.                       ,"May 31, 2019"
13370835,DOCK IP S.A.,301,No,RSFN,DOCK INSTITUIÇÃO DE PAGAMENTO S.A.                                              ,"Sep 26, 2018"
13486793,BRL TRUST DTVM SA,173,No,RSFN,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.                   ,"Nov 28, 2016"
13673855,FRAM CAPITAL DTVM S.A.,331,No,RSFN,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.                ,"Sep 27, 2019"
13720915,BCO WESTERN UNION,119,No,RSFN,Banco Western Union do Brasil S.A.                                              ,"Oct 10, 2011"
13884775,HUB IP S.A.,396,No,RSFN,HUB INSTITUIÇÃO DE PAGAMENTO S.A.                                               ,"Aug 13, 2020"
13935893,CELCOIN IP S.A.,509,No,RSFN,CELCOIN INSTITUICAO DE PAGAMENTO S.A.                                           ,"Jan 23, 2023"
14190547,CAMBIONET CC LTDA,309,No,Internet,CAMBIONET CORRETORA DE CÂMBIO LTDA.                                             ,"Nov 21, 2018"
14388334,PARANA BCO S.A.,254,Yes,RSFN,PARANÁ BANCO S.A.                                                               ,"Apr 22, 2002"
14511781,BARI CIA HIPOTECÁRIA,268,No,Internet,BARI COMPANHIA HIPOTECÁRIA                                                      ,"Dec 21, 2017"
15111975,IUGU IP S.A.,401,No,RSFN,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.                                              ,"May 06, 2021"
15114366,BCO BOCOM BBM S.A.,107,Yes,RSFN,Banco Bocom BBM S.A.                                                            ,"Apr 22, 2002"
15124464,BANCO BESA S.A.,334,No,RSFN,BANCO BESA S.A.                                                                 ,"Feb 22, 2023"
15173776,SOCIAL BANK S/A,412,No,RSFN,SOCIAL BANK BANCO MÚLTIPLO S/A                                                  ,"Apr 22, 2002"
15357060,BCO WOORI BANK DO BRASIL S.A.,124,Yes,RSFN,Banco Woori Bank do Brasil S.A.                                                 ,"Aug 09, 2012"
15581638,FACTA S.A. CFI,149,No,RSFN,Facta Financeira S.A. - Crédito Financiamento e Investimento                    ,"Jul 08, 2015"
16501555,STONE IP S.A.,197,No,RSFN,STONE INSTITUIÇÃO DE PAGAMENTO S.A.                                             ,"Oct 18, 2017"
16695922,ID CTVM,439,No,RSFN,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                              ,"Sep 30, 2021"
16927221,AMAZÔNIA CC LTDA.,313,No,Internet,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.                                              ,"Aug 28, 2020"
16944141,BROKER BRASIL CC LTDA.,142,No,RSFN,Broker Brasil Corretora de Câmbio Ltda.                                         ,"Jun 23, 2015"
17079937,PINBANK IP,529,No,RSFN,PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.                                    ,"Nov 16, 2022"
17184037,BCO MERCANTIL DO BRASIL S.A.,389,Yes,RSFN,Banco Mercantil do Brasil S.A.                                                  ,"Apr 22, 2002"
17298092,BCO ITAÚ BBA S.A.,184,No,RSFN,Banco Itaú BBA S.A.                                                             ,"Apr 22, 2002"
17351180,BCO TRIANGULO S.A.,634,Yes,RSFN,BANCO TRIANGULO S.A.                                                            ,"Apr 22, 2002"
17352220,SENSO CCVM S.A.,545,No,Internet,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A                             ,"Sep 27, 2010"
17453575,ICBC DO BRASIL BM S.A.,132,No,RSFN,ICBC do Brasil Banco Múltiplo S.A.                                              ,"Sep 26, 2013"
17772370,VIPS CC LTDA.,298,No,Internet,Vip's Corretora de Câmbio Ltda.                                                 ,"Aug 15, 2018"
17826860,BMS SCD S.A.,377,No,RSFN,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.                                            ,"Oct 01, 2020"
18188384,CREFAZ SCMEPP LTDA,321,No,RSFN,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT,"Jun 11, 2019"
18236120,NU PAGAMENTOS - IP,260,No,RSFN,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO                                   ,"Oct 10, 2017"
18394228,CDC SCD S.A.,470,No,RSFN,CDC SOCIEDADE DE CRÉDITO DIRETO S.A.                                            ,"Mar 15, 2022"
18520834,UBS BRASIL BI S.A.,129,No,RSFN,UBS Brasil Banco de Investimento S.A.                                           ,"Mar 12, 2014"
19307785,BRAZA BANK S.A. BCO DE CÂMBIO,128,No,RSFN,BRAZA BANK S.A. BANCO DE CÂMBIO                                                 ,"Apr 27, 2015"
19324634,LAMARA SCD S.A.,416,No,Internet,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,"Apr 08, 2021"
19540550,ASAAS IP S.A.,461,No,RSFN,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.                           ,"Oct 29, 2021"
20155248,PARMETAL DTVM LTDA,194,No,RSFN,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                    ,"Oct 25, 2017"
20855875,NEON PAGAMENTOS S.A. IP,536,No,RSFN,NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO                                 ,"Jan 12, 2023"
21018182,EBANX IP LTDA.,383,No,RSFN,EBANX INSTITUICAO DE PAGAMENTOS LTDA.                                           ,"Jul 09, 2020"
21332862,CARTOS SCD S.A.,324,No,RSFN,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,"Sep 16, 2020"
22610500,VORTX DTVM LTDA.,310,No,RSFN,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                      ,"Oct 18, 2018"
22896431,PICPAY,380,No,RSFN,PICPAY INSTITUIçãO DE PAGAMENTO S.A.                                            ,"Oct 15, 2020"
23862762,WILL FINANCEIRA S.A.CFI,280,No,RSFN,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                      ","May 10, 2018"
24074692,GUITTA CC LTDA,146,No,Internet,GUITTA CORRETORA DE CAMBIO LTDA.                                                ,"May 20, 2015"
24537861,FFA SCMEPP LTDA.,343,No,RSFN,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,"Nov 12, 2019"
26563270,COOP DE PRIMAVERA DO LESTE,279,Yes,RSFN,PRIMACREDI COOPERATIVA DE CRÉDITO DE PRIMAVERA DO LESTE                         ,"Jun 05, 2018"
27098060,BANCO DIGIO,335,No,RSFN,Banco Digio S.A.                                                                ,"Nov 25, 2019"
