ISPB,Short_Name,Code_Number,Participation_in_Compe,Main_Access,Full_Name,Start_Date
27214112,AL5 S.A. CFI,349,No,RSFN,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                  ","Oct 24, 2019"
27302181,CRED-UFES,427,No,RSFN,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO ,"Apr 26, 2021"
27351731,REALIZE CFI S.A.,374,No,RSFN,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                              ","Sep 16, 2020"
27652684,GENIAL INVESTIMENTOS CVM S.A.,278,No,RSFN,Genial Investimentos Corretora de Valores Mobiliários S.A.                      ,"May 14, 2018"
27842177,IB CCTVM S.A.,271,No,RSFN,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.                      ","Feb 26, 2018"
28127603,BCO BANESTES S.A.,021,Yes,RSFN,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                 ,"Apr 22, 2002"
28195667,BCO ABC BRASIL S.A.,246,Yes,RSFN,Banco ABC Brasil S.A.                                                           ,"Apr 22, 2002"
28650236,BS2 DTVM S.A.,292,No,RSFN,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.                         ,"Oct 24, 2018"
28719664,Balcão B3                          ,n/a,No,RSFN,Sistema do Balcão B3                                                            ,"Apr 22, 2002"
29011780,CIP SA C3                          ,n/a,No,RSFN,CIP S.A                                                                         ,"Jan 30, 2012"
29030467,SCOTIABANK BRASIL,751,No,RSFN,Scotiabank Brasil S.A. Banco Múltiplo                                           ,"Apr 22, 2002"
29162769,TORO CTVM S.A.,352,No,RSFN,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                            ,"Nov 29, 2019"
30306294,BANCO BTG PACTUAL S.A.,208,Yes,RSFN,Banco BTG Pactual S.A.                                                          ,"Apr 22, 2002"
30680829,NU FINANCEIRA S.A. CFI,386,No,RSFN,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento         ","Jan 12, 2021"
30723886,BCO MODAL S.A.,746,Yes,RSFN,Banco Modal S.A.                                                                ,"Apr 22, 2002"
30980539,U4C INSTITUIÇÃO DE PAGAMENTO S.A.,546,No,RSFN,U4C INSTITUIÇÃO DE PAGAMENTO S.A.                                               ,"Apr 24, 2023"
31597552,BCO CLASSICO S.A.,241,Yes,RSFN,BANCO CLASSICO S.A.                                                             ,"Apr 22, 2002"
31749596,IDEAL CTVM S.A.,398,No,RSFN,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                           ,"Jan 11, 2021"
31872495,BCO C6 S.A.,336,No,RSFN,Banco C6 S.A.                                                                   ,"Jan 31, 2019"
31880826,BCO GUANABARA S.A.,612,Yes,RSFN,Banco Guanabara S.A.                                                            ,"Apr 22, 2002"
31895683,BCO INDUSTRIAL DO BRASIL S.A.,604,Yes,RSFN,Banco Industrial do Brasil S.A.                                                 ,"Apr 22, 2002"
32062580,BCO CREDIT SUISSE S.A.,505,Yes,RSFN,Banco Credit Suisse (Brasil) S.A.                                               ,"Apr 22, 2002"
32402502,QI SCD S.A.,329,No,RSFN,QI Sociedade de Crédito Direto S.A.                                             ,"Apr 30, 2019"
32648370,FAIR CC S.A.,196,No,Internet,FAIR CORRETORA DE CAMBIO S.A.                                                   ,"Sep 11, 2017"
32997490,CREDITAS SCD,342,No,RSFN,Creditas Sociedade de Crédito Direto S.A.                                       ,"Jul 26, 2019"
33042151,BCO LA NACION ARGENTINA,300,Yes,RSFN,Banco de la Nacion Argentina                                                    ,"Apr 22, 2002"
33042953,CITIBANK N.A.,477,Yes,RSFN,Citibank N.A.                                                                   ,"Apr 22, 2002"
33132044,BCO CEDULA S.A.,266,Yes,RSFN,BANCO CEDULA S.A.                                                               ,"Apr 22, 2002"
33147315,BCO BRADESCO BERJ S.A.,122,Yes,RSFN,Banco Bradesco BERJ S.A.                                                        ,"Nov 08, 2011"
33172537,BCO J.P. MORGAN S.A.,376,Yes,RSFN,BANCO J.P. MORGAN S.A.                                                          ,"Apr 22, 2002"
33264668,BCO XP S.A.,348,No,RSFN,Banco XP S.A.                                                                   ,"Nov 01, 2019"
33466988,BCO CAIXA GERAL BRASIL S.A.,473,No,RSFN,Banco Caixa Geral - Brasil S.A.                                                 ,"Mar 31, 2009"
33479023,BCO CITIBANK S.A.,745,Yes,RSFN,Banco Citibank S.A.                                                             ,"Apr 22, 2002"
33603457,BCO RODOBENS S.A.,120,Yes,RSFN,BANCO RODOBENS S.A.                                                             ,"Feb 06, 2012"
33644196,BCO FATOR S.A.,265,Yes,RSFN,Banco Fator S.A.                                                                ,"Apr 22, 2002"
33657248,BNDES,007,No,RSFN,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL                            ,"Jun 30, 2014"
33775974,ATIVA S.A. INVESTIMENTOS CCTVM,188,No,RSFN,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES                 ","Jul 28, 2017"
33862244,BGC LIQUIDEZ DTVM LTDA,134,No,RSFN,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                ,"Jul 28, 2014"
33885724,BANCO ITAÚ CONSIGNADO S.A.,029,No,RSFN,Banco Itaú Consignado S.A.                                                      ,"Apr 22, 2002"
33886862,MASTER S/A CCTVM,467,No,RSFN,"MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS                   ","Dec 16, 2021"
33923798,BANCO MASTER,243,Yes,RSFN,BANCO MASTER S/A                                                                ,"Apr 22, 2002"
34088029,LISTO SCD S.A.,397,No,RSFN,LISTO SOCIEDADE DE CREDITO DIRETO S.A.                                          ,"Oct 15, 2020"
34111187,HAITONG BI DO BRASIL S.A.,078,No,RSFN,Haitong Banco de Investimento do Brasil S.A.                                    ,"Jul 31, 2008"
34265629,INTERCAM CC LTDA,525,No,RSFN,INTERCAM CORRETORA DE CÂMBIO LTDA.                                              ,"Dec 05, 2022"
34335592,ÓTIMO SCD S.A.,355,No,Internet,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,"Oct 21, 2019"
34711571,VITREO DTVM S.A.,367,No,RSFN,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                      ,"Mar 12, 2020"
34829992,REAG DTVM S.A.,528,No,RSFN,REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                        ,"Mar 06, 2023"
35551187,PLANTAE CFI,445,No,RSFN,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            ","Jun 23, 2021"
35977097,UP.P SEP S.A.,373,No,RSFN,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.                                 ,"Mar 25, 2020"
36113876,OLIVEIRA TRUST DTVM S.A.,111,No,RSFN,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.              ,"Mar 24, 2011"
36266751,FINVEST DTVM,512,No,RSFN,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                    ,"Aug 01, 2022"
36583700,QISTA S.A. CFI,516,No,RSFN,"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                              ","Oct 24, 2022"
36586946,BONUSPAGO SCD S.A.,408,No,RSFN,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.                                      ,"Oct 14, 2020"
36864992,MAF DTVM SA,484,No,RSFN,MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                         ,"Jul 20, 2022"
36947229,COBUCCIO S.A. SCFI,402,No,RSFN,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS              ","Dec 03, 2020"
37229413,SCFI EFÍ S.A.,507,No,RSFN,"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.                     ","Dec 12, 2022"
37241230,SUMUP SCD S.A.,404,No,RSFN,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,"Oct 16, 2020"
37414009,ZIPDIN SCD S.A.,418,No,RSFN,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A                        ,"Aug 26, 2021"
37526080,LEND SCD S.A.,414,No,RSFN,LEND SOCIEDADE DE CRÉDITO DIRETO S.A.                                           ,"Mar 25, 2021"
37555231,DM,449,No,RSFN,DM SOCIEDADE DE CRÉDITO DIRETO S.A.                                             ,"Oct 22, 2021"
37679449,MERCADO CRÉDITO SCFI S.A.,518,No,RSFN,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.         ","Jan 30, 2023"
37715993,ACCREDITO SCD S.A.,406,No,RSFN,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.                                    ,"Nov 27, 2020"
37880206,CORA SCD S.A.,403,No,RSFN,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.                                           ,"Sep 29, 2020"
38129006,NUMBRS SCD S.A.,419,No,RSFN,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,"Mar 18, 2021"
38224857,DELCRED SCD S.A.,435,Yes,RSFN,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.                                        ,"Aug 27, 2021"
38429045,FÊNIX DTVM LTDA.,455,No,RSFN,FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                      ,"Dec 05, 2022"
39343350,CC LAR CREDI,421,Yes,RSFN,LAR COOPERATIVA DE CRÉDITO - LAR CREDI                                          ,"Jul 21, 2021"
39416705,CREDIHOME SCD,443,No,RSFN,CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.                                      ,"Nov 18, 2021"
39519944,MARU SCD S.A.,535,No,RSFN,MARÚ SOCIEDADE DE CRÉDITO DIRETO S.A.                                           ,"Feb 10, 2023"
39587424,UY3 SCD S/A,457,No,RSFN,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A                                             ,"Oct 26, 2021"
39664698,CREDSYSTEM SCD S.A.,428,No,RSFN,CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.                                     ,"Apr 20, 2021"
39669186,HEMERA DTVM LTDA.,448,No,RSFN,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                     ,"Aug 17, 2021"
39676772,CREDIFIT SCD S.A.,452,No,RSFN,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.                                       ,"Sep 15, 2021"
39738065,FFCRED SCD S.A.,510,No,RSFN,FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..                                        ,"Nov 30, 2022"
39908427,STARK SCD S.A.,462,No,Internet,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,"Oct 01, 2021"
40083667,CAPITAL CONSIG SCD S.A.,465,No,RSFN,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.                                 ,"Dec 03, 2021"
40303299,PORTOPAR DTVM LTDA,306,No,RSFN,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                   ,"Feb 06, 2019"
40434681,AZUMI DTVM,463,No,RSFN,AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.                      ,"Dec 21, 2021"
40475846,J17 - SCD S/A,451,No,RSFN,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A                                           ,"Jan 18, 2022"
40654622,TRINUS SCD S.A.,444,No,RSFN,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,"Sep 09, 2021"
40768766,LIONS TRUST DTVM,519,No,RSFN,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                ,"Dec 12, 2022"
41592532,MÉRITO DTVM LTDA.,454,No,RSFN,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                     ,"Nov 23, 2021"
42047025,UNAVANTI SCD S/A,460,No,RSFN,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A                                        ,"Jan 18, 2022"
42066258,RJI,506,No,RSFN,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA                             ,"Jul 21, 2022"
42259084,SBCASH SCD,482,No,RSFN,SBCASH SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,"Oct 11, 2022"
42272526,BNY MELLON BCO S.A.,017,Yes,RSFN,BNY Mellon Banco S.A.                                                           ,"Nov 19, 2012"
43180355,PEFISA S.A. - C.F.I.,174,No,RSFN,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             ","Nov 21, 2017"
43599047,SUPERLÓGICA SCD S.A.,481,No,RSFN,SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.                                    ,"Aug 29, 2022"
44019481,PEAK SEP S.A.,521,No,RSFN,PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.                                 ,"Jan 27, 2023"
44077014,BR-CAPITAL DTVM S.A.,433,No,RSFN,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                  ,"Jun 21, 2021"
44189447,BCO LA PROVINCIA B AIRES BCE,495,No,RSFN,Banco de La Provincia de Buenos Aires                                           ,"Apr 22, 2002"
44292580,HR DIGITAL SCD,523,No,RSFN,HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A                                    ,"Feb 15, 2023"
44478623,ATICCA SCD S.A.,527,No,RSFN,ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.                                       ,"Feb 06, 2023"
44683140,MAGNUM SCD,511,Yes,RSFN,MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,"Aug 22, 2022"
44728700,ATF CREDIT SCD S.A.,513,No,RSFN,ATF CREDIT SOCIEDADE DE CRÉDITO DIRETO S.A.                                     ,"Dec 02, 2022"
45246410,BANCO GENIAL,125,Yes,RSFN,BANCO GENIAL S.A.                                                               ,"Nov 19, 2012"
45745537,EAGLE SCD S.A.,532,No,RSFN,EAGLE SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,"Apr 03, 2023"
45756448,MICROCASH SCMEPP LTDA.,537,No,RSFN,MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE,"Mar 06, 2023"
45854066,WNT CAPITAL DTVM,524,No,RSFN,WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                 ,"Mar 01, 2023"
46026562,MONETARIE SCD,526,No,RSFN,MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.                                      ,"Jan 20, 2023"
46518205,JPMORGAN CHASE BANK,488,No,RSFN,"JPMorgan Chase Bank, National Association                                       ","Apr 22, 2002"
47593544,RED SCD S.A.,522,No,RSFN,RED SOCIEDADE DE CRÉDITO DIRETO S.A.                                            ,"Mar 27, 2023"
47873449,SER FINANCE SCD S.A.,530,No,RSFN,SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.                                    ,"Mar 14, 2023"
48795256,BCO ANDBANK S.A.,065,Yes,RSFN,Banco AndBank (Brasil) S.A.                                                     ,"Apr 22, 2002"
50579044,LEVYCAM CCV LTDA,145,No,Internet,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.                                   ,"Jun 16, 2015"
50585090,"BCV - BCO, CRÉDITO E VAREJO S.A.",250,No,RSFN,BCV - BANCO DE CRÉDITO E VAREJO S.A.                                            ,"Apr 22, 2002"
52937216,BEXS CC S.A.,253,No,Internet,Bexs Corretora de Câmbio S/A                                                    ,"Nov 11, 2016"
53518684,BCO HSBC S.A.,269,No,RSFN,BANCO HSBC S.A.                                                                 ,"Feb 07, 2018"
54403563,BCO ARBI S.A.,213,Yes,RSFN,Banco Arbi S.A.                                                                 ,"Apr 22, 2002"
54641030,Câmara B3                          ,n/a,No,RSFN,Câmara B3                                                                       ,"Apr 22, 2002"
55230916,INTESA SANPAOLO BRASIL S.A. BM,139,No,RSFN,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo                                    ,"May 08, 2015"
57839805,BCO TRICURY S.A.,018,Yes,RSFN,Banco Tricury S.A.                                                              ,"Aug 05, 2013"
58160789,BCO SAFRA S.A.,422,Yes,RSFN,Banco Safra S.A.                                                                ,"Apr 22, 2002"
58497702,BCO LETSBANK S.A.,630,No,RSFN,BANCO LETSBANK S.A.                                                             ,"Apr 22, 2002"
58616418,BCO FIBRA S.A.,224,Yes,RSFN,Banco Fibra S.A.                                                                ,"Apr 22, 2002"
59109165,BCO VOLKSWAGEN S.A,393,No,RSFN,Banco Volkswagen S.A.                                                           ,"Aug 17, 2020"
59118133,BCO LUSO BRASILEIRO S.A.,600,Yes,RSFN,Banco Luso Brasileiro S.A.                                                      ,"Apr 22, 2002"
59274605,BCO GM S.A.,390,No,RSFN,BANCO GM S.A.                                                                   ,"Jul 22, 2020"
59285411,BANCO PAN,623,Yes,RSFN,Banco Pan S.A.                                                                  ,"Apr 22, 2002"
59588111,BCO VOTORANTIM S.A.,655,Yes,RSFN,Banco Votorantim S.A.                                                           ,"Apr 22, 2002"
60394079,BCO ITAUBANK S.A.,479,No,RSFN,Banco ItauBank S.A.                                                             ,"Apr 22, 2002"
60498557,BCO MUFG BRASIL S.A.,456,Yes,RSFN,Banco MUFG Brasil S.A.                                                          ,"Apr 22, 2002"
60518222,BCO SUMITOMO MITSUI BRASIL S.A.,464,No,RSFN,Banco Sumitomo Mitsui Brasileiro S.A.                                           ,"Apr 22, 2002"
60701190,ITAÚ UNIBANCO S.A.,341,Yes,RSFN,ITAÚ UNIBANCO S.A.                                                              ,"Apr 22, 2002"
60746948,BCO BRADESCO S.A.,237,Yes,RSFN,Banco Bradesco S.A.                                                             ,"Apr 22, 2002"
60814191,BCO MERCEDES-BENZ S.A.,381,No,RSFN,BANCO MERCEDES-BENZ DO BRASIL S.A.                                              ,"May 25, 2020"
60850229,OMNI BANCO S.A.,613,Yes,RSFN,Omni Banco S.A.                                                                 ,"Apr 22, 2002"
60889128,BCO SOFISA S.A.,637,Yes,RSFN,BANCO SOFISA S.A.                                                               ,"Apr 22, 2002"
60934221,Câmbio B3                          ,n/a,No,RSFN,Câmara de Câmbio B3                                                             ,"Apr 22, 2002"
61024352,BANCO VOITER,653,No,RSFN,BANCO VOITER S.A.                                                               ,"Apr 22, 2002"
61033106,BCO CREFISA S.A.,069,Yes,RSFN,Banco Crefisa S.A.                                                              ,"Nov 18, 2005"
61088183,BCO MIZUHO S.A.,370,No,RSFN,Banco Mizuho do Brasil S.A.                                                     ,"Apr 22, 2002"
61182408,BANCO INVESTCRED UNIBANCO S.A.,249,Yes,RSFN,Banco Investcred Unibanco S.A.                                                  ,"Apr 22, 2002"
61186680,BCO BMG S.A.,318,Yes,RSFN,Banco BMG S.A.                                                                  ,"Apr 22, 2002"
61348538,BCO C6 CONSIG,626,No,RSFN,BANCO C6 CONSIGNADO S.A.                                                        ,"Apr 22, 2002"
61384004,AVENUE SECURITIES DTVM LTDA.,508,No,RSFN,AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.          ,"Aug 18, 2022"
61444949,SAGITUR CC,270,No,Internet,SAGITUR CORRETORA DE CÂMBIO S.A.                                                ,"Aug 01, 2018"
61533584,BCO SOCIETE GENERALE BRASIL,366,Yes,RSFN,BANCO SOCIETE GENERALE BRASIL S.A.                                              ,"Apr 22, 2002"
61723847,NEON CTVM S.A.,113,No,RSFN,NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                            ,"Nov 28, 2011"
61747085,TULLETT PREBON BRASIL CVC LTDA,131,No,RSFN,TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA                        ,"Jul 15, 2013"
61809182,C.SUISSE HEDGING-GRIFFO CV S/A,011,No,RSFN,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A                           ,"Jun 28, 2011"
61820817,BCO PAULISTA S.A.,611,Yes,RSFN,Banco Paulista S.A.                                                             ,"Apr 22, 2002"
62073200,BOFA MERRILL LYNCH BM S.A.,755,Yes,RSFN,Bank of America Merrill Lynch Banco Múltiplo S.A.                               ,"Nov 09, 2007"
62109566,CREDISAN CC,089,Yes,RSFN,CREDISAN COOPERATIVA DE CRÉDITO                                                 ,"Aug 30, 2010"
62144175,BCO PINE S.A.,643,Yes,RSFN,Banco Pine S.A.                                                                 ,"Apr 22, 2002"
62169875,NU INVEST CORRETORA DE VALORES S.A.,140,No,RSFN,NU INVEST CORRETORA DE VALORES S.A.                                             ,"May 26, 2015"
62232889,BCO DAYCOVAL S.A,707,Yes,RSFN,Banco Daycoval S.A.                                                             ,"Apr 22, 2002"
62237649,CAROL DTVM LTDA.,288,No,Internet,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                      ,"Jul 05, 2018"
62285390,SINGULARE CTVM S.A.,363,No,RSFN,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                       ,"Jun 01, 2020"
62287735,RENASCENCA DTVM LTDA,101,No,RSFN,RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                  ,"Apr 22, 2010"
62331228,DEUTSCHE BANK S.A.BCO ALEMAO,487,Yes,RSFN,DEUTSCHE BANK S.A. - BANCO ALEMAO                                               ,"Apr 22, 2002"
62421979,BANCO CIFRA,233,No,RSFN,Banco Cifra S.A.                                                                ,"Apr 22, 2002"
65913436,GUIDE,177,No,RSFN,Guide Investimentos S.A. Corretora de Valores                                   ,"May 08, 2017"
67030395,TRUSTEE DTVM LTDA.,438,No,RSFN,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                    ,"May 04, 2021"
68757681,SIMPAUL,365,No,RSFN,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.                         ,"Mar 17, 2020"
68900810,BCO RENDIMENTO S.A.,633,Yes,RSFN,Banco Rendimento S.A.                                                           ,"Apr 22, 2002"
71027866,BCO BS2 S.A.,218,Yes,RSFN,Banco BS2 S.A.                                                                  ,"Apr 22, 2002"
71590442,LASTRO RDV DTVM LTDA,293,No,Internet,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.                 ,"Sep 10, 2018"
71677850,FRENTE CC S.A.,285,No,RSFN,FRENTE CORRETORA DE CÂMBIO S.A.                                                 ,"Sep 25, 2018"
73622748,B&T CC LTDA.,080,No,RSFN,B&T CORRETORA DE CAMBIO LTDA.                                                   ,"Nov 18, 2010"
74828799,NOVO BCO CONTINENTAL S.A. - BM,753,Yes,RSFN,Novo Banco Continental S.A. - Banco Múltiplo                                    ,"Apr 22, 2002"
75647891,BCO CRÉDIT AGRICOLE BR S.A.,222,Yes,RSFN,BANCO CRÉDIT AGRICOLE BRASIL S.A.                                               ,"Apr 22, 2002"
76461557,CCR COOPAVEL,281,Yes,RSFN,Cooperativa de Crédito Rural Coopavel                                           ,"Nov 05, 2018"
76543115,BANCO SISTEMA,754,No,RSFN,Banco Sistema S.A.                                                              ,"Jul 15, 2015"
76641497,DOURADA CORRETORA,311,No,Internet,DOURADA CORRETORA DE CÂMBIO LTDA.                                               ,"Jan 22, 2021"
78157146,CREDIALIANÇA CCR,098,Yes,RSFN,Credialiança Cooperativa de Crédito Rural                                       ,"Jan 18, 2011"
78626983,BCO VR S.A.,610,Yes,RSFN,Banco VR S.A.                                                                   ,"Apr 22, 2002"
78632767,BCO OURINVEST S.A.,712,No,RSFN,Banco Ourinvest S.A.                                                            ,"Jan 28, 2014"
80271455,BCO RNX S.A.,720,No,RSFN,BANCO RNX S.A.                                                                  ,"Feb 24, 2021"
81723108,CREDICOAMO,010,Yes,RSFN,CREDICOAMO CREDITO RURAL COOPERATIVA                                            ,"Dec 10, 2012"
82096447,CREDIBRF COOP,440,No,RSFN,CREDIBRF - COOPERATIVA DE CRÉDITO                                               ,"Sep 02, 2021"
87963450,MAGNETIS - DTVM,442,No,RSFN,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                  ,"Sep 15, 2021"
89960090,RB INVESTIMENTOS DTVM LTDA.,283,No,RSFN,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA        ,"Jul 05, 2018"
90400888,BCO SANTANDER (BRASIL) S.A.,033,Yes,RSFN,BANCO SANTANDER (BRASIL) S.A.                                                   ,"Apr 22, 2002"
91884981,BANCO JOHN DEERE S.A.,217,Yes,RSFN,Banco John Deere S.A.                                                           ,"Apr 22, 2002"
92702067,BCO DO ESTADO DO RS S.A.,041,Yes,RSFN,Banco do Estado do Rio Grande do Sul S.A.                                       ,"Apr 22, 2002"
92856905,ADVANCED CC LTDA,117,No,Internet,ADVANCED CORRETORA DE CÂMBIO LTDA                                               ,"Oct 03, 2011"
92874270,BCO DIGIMAIS S.A.,654,Yes,RSFN,BANCO DIGIMAIS S.A.                                                             ,"Apr 22, 2002"
92875780,WARREN CVMC LTDA,371,No,RSFN,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.                          ,"May 13, 2020"
92894922,BANCO ORIGINAL,212,Yes,RSFN,Banco Original S.A.                                                             ,"Apr 22, 2002"
94968518,EFX CC LTDA.,289,No,RSFN,EFX CORRETORA DE CÂMBIO LTDA.                                                   ,"Mar 14, 2019"

